"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
16,13,15,18,18,13,18,18,15,18,17,13,15,12,16,16,12,17,12,18,14,17,16
17,14,15,18,17,14,18,18,16,17,18,14,16,12,18,16,14,15,15,19,15,18,17
16,12,15,17,17,15,18,17,17,17,17,16,16,12,15,17,14,15,13,17,13,19,16
18,13,16,18,18,14,17,19,15,17,18,14,15,13,15,16,14,16,15,17,16,18,17
17,12,16,17,18,15,18,19,15,18,17,16,16,11,16,18,15,14,15,19,13,18,14
16,14,14,17,17,15,18,18,17,17,17,14,14,11,15,17,14,15,12,18,15,18,17
16,13,15,16,18,16,18,17,17,17,16,13,14,13,16,16,15,17,15,18,15,18,16
16,14,16,17,15,15,18,18,16,17,17,14,15,10,15,17,14,16,13,18,19,17,17
15,16,15,18,17,15,17,18,15,19,18,14,13,12,16,16,13,16,16,18,17,19,16
16,13,16,17,17,17,18,18,15,17,17,14,13,12,16,16,14,17,15,17,15,18,16
18,16,16,17,16,16,18,18,17,19,18,17,16,12,16,17,15,14,15,19,15,18,15
15,12,14,17,16,16,18,18,16,17,16,15,15,13,16,17,14,15,12,17,18,18,16
16,14,15,18,17,15,18,17,17,18,17,14,14,11,17,17,15,17,13,17,13,19,16
16,13,15,17,17,15,18,18,15,17,18,15,15,11,15,17,14,16,14,19,14,19,16
18,15,15,17,16,13,18,18,17,17,17,14,15,12,14,17,14,14,13,17,17,19,17
15,13,14,17,16,12,18,17,15,17,18,12,14,12,16,16,14,16,13,17,16,18,16
17,16,14,17,18,15,18,18,15,18,17,14,16,12,16,17,13,16,13,17,15,19,17
17,15,16,18,16,16,18,18,17,18,18,14,14,12,17,15,14,16,13,18,17,17,17
19,15,14,16,17,17,18,18,16,17,17,14,16,13,16,17,15,16,13,18,15,18,17
17,16,14,18,15,17,18,17,16,18,17,15,17,11,17,16,15,15,15,17,17,18,16
16,14,16,17,19,15,18,17,15,19,18,13,17,13,17,16,12,15,11,18,17,19,15
16,13,15,18,17,13,18,18,15,18,18,13,14,12,16,17,15,15,12,18,15,18,17
17,15,16,17,17,17,18,17,17,18,18,14,16,13,17,16,15,15,16,17,16,18,16
17,16,15,17,16,15,18,18,16,18,18,15,16,12,17,16,13,16,16,18,16,18,17
16,16,15,17,16,16,18,18,16,19,15,15,16,12,15,17,15,15,15,18,16,17,16
17,13,16,18,18,17,18,18,17,18,17,15,16,14,17,17,14,16,15,18,16,18,16
13,14,16,18,17,13,18,18,14,17,18,13,15,11,15,15,13,15,15,17,14,19,15
15,16,17,17,17,15,18,19,15,18,19,15,15,11,17,18,15,15,15,17,18,18,16
16,14,16,17,16,14,18,17,16,18,18,14,17,12,17,16,15,15,16,19,16,18,16
16,13,16,18,16,15,18,17,17,18,16,16,15,13,17,17,15,16,15,17,15,18,16
18,15,16,17,16,16,18,18,16,18,18,14,16,10,17,16,15,17,15,17,16,18,17
16,12,16,18,17,16,17,17,17,18,17,14,16,14,15,15,16,18,14,17,15,17,16
18,13,16,17,18,13,18,17,16,18,16,14,15,13,13,15,15,15,11,18,16,17,16
16,14,14,16,15,14,18,17,16,17,18,14,17,13,14,17,13,14,16,17,15,18,17
15,14,15,17,17,15,18,18,15,18,18,15,17,13,17,17,15,16,14,18,15,18,16
18,15,15,17,16,15,18,18,15,17,18,16,16,11,17,16,14,16,14,18,15,19,16
16,13,15,17,16,14,18,18,15,18,18,15,16,13,15,15,14,15,17,17,17,18,18
16,13,17,16,16,16,18,17,16,17,17,12,14,13,15,17,13,15,13,17,14,18,16
18,13,15,18,17,15,19,18,17,18,19,15,14,13,17,16,13,15,14,17,15,18,16
16,14,15,18,16,15,18,17,15,17,17,16,14,14,16,18,16,15,16,17,15,18,15
16,13,16,18,18,14,18,18,16,18,17,13,14,12,16,18,13,15,13,18,16,19,16
17,14,16,17,16,14,18,18,15,17,17,12,16,12,16,16,15,16,12,17,16,17,16
17,16,17,18,16,15,18,18,16,18,17,13,16,11,16,17,14,17,13,17,15,19,15
17,13,16,19,17,14,18,18,17,18,18,14,14,12,17,16,13,15,15,17,15,18,16
18,14,15,18,17,15,18,18,16,17,17,14,16,12,16,16,12,16,12,19,16,18,16
16,13,15,16,16,15,18,17,15,17,17,13,17,13,15,17,14,15,13,17,12,18,16
17,14,17,16,17,16,18,18,16,17,17,13,15,11,15,17,14,15,11,17,13,17,15
18,15,15,18,18,15,18,17,16,17,18,15,14,13,16,16,12,17,14,17,13,18,16
17,15,16,17,17,15,18,18,16,17,16,13,13,13,15,17,15,17,14,17,16,17,16
17,15,16,17,17,16,19,18,17,19,18,16,15,13,17,17,15,16,12,17,15,18,16
16,15,15,18,17,17,18,18,16,18,16,14,16,10,17,16,13,16,12,17,14,18,16
16,13,14,17,17,16,17,18,16,19,16,13,15,10,17,16,15,16,12,18,17,18,15
18,13,15,17,17,14,18,18,17,18,17,15,15,12,18,16,14,16,16,17,15,17,16
16,14,15,17,17,14,18,18,16,19,16,14,14,10,16,16,14,15,13,17,16,18,16
15,13,17,18,17,13,18,18,17,18,16,13,15,13,15,17,13,15,14,17,14,18,17
14,15,16,17,17,15,18,18,15,17,18,14,16,12,16,15,13,15,16,17,18,18,15
17,14,16,19,18,15,18,18,16,18,18,14,16,10,15,16,14,17,13,17,15,18,15
15,15,16,16,19,13,18,18,16,17,17,14,14,14,15,15,12,15,15,18,14,18,16
17,14,16,17,18,16,18,19,17,17,18,14,14,12,15,17,15,16,15,18,14,19,16
17,15,14,17,17,13,18,18,16,17,16,16,17,14,16,17,13,14,12,17,19,18,16
16,14,15,17,17,15,18,17,16,18,16,14,15,10,16,17,14,15,12,17,14,18,17
16,14,15,18,15,18,18,17,17,19,17,15,14,13,18,17,14,15,15,18,16,18,16
17,13,15,18,17,14,18,18,16,18,16,14,15,11,16,16,13,16,13,18,15,18,15
18,14,16,17,15,15,18,18,16,18,16,14,17,12,17,16,15,16,12,18,14,17,16
15,13,16,17,18,16,18,17,16,17,18,13,14,13,15,16,14,17,13,18,16,17,15
17,13,15,17,18,15,18,18,16,17,18,14,16,12,13,16,14,16,13,17,15,18,16
17,16,17,18,17,13,18,17,16,17,17,15,15,11,16,18,14,16,15,18,16,18,15
17,15,15,17,17,16,17,18,17,18,17,13,14,12,17,17,14,16,12,18,16,17,15
15,14,15,18,15,15,18,18,17,18,17,15,15,13,17,15,13,15,13,19,15,18,17
16,13,14,18,16,15,18,18,16,18,17,15,14,12,15,17,14,15,13,18,15,18,15
17,15,16,16,17,16,18,18,16,18,17,15,18,13,16,17,15,16,13,18,15,18,16
16,14,15,17,16,15,18,18,16,18,17,16,14,12,17,17,13,17,12,17,15,18,14
16,15,16,17,16,13,18,18,15,18,16,14,16,12,15,16,12,16,15,18,13,18,15
17,14,17,18,16,16,18,18,16,18,18,15,15,12,18,16,13,15,13,18,15,18,15
16,14,16,16,18,13,19,18,18,18,16,14,15,11,16,17,15,17,17,18,14,17,14
17,15,17,18,15,16,18,17,17,18,17,14,17,13,15,15,14,16,13,17,16,18,15
15,15,17,17,17,17,18,18,16,19,18,15,17,12,16,17,15,15,13,18,15,18,16
16,16,15,17,17,13,18,17,15,18,16,14,14,13,14,17,16,16,15,18,17,17,16
17,15,16,18,16,16,18,18,16,17,17,13,17,11,17,16,15,16,16,17,18,18,15
17,16,17,17,18,16,18,18,16,18,17,14,13,12,15,17,13,15,13,17,15,18,16
17,13,16,16,17,13,18,17,17,17,17,13,14,12,14,18,14,14,13,17,13,17,17
15,12,16,17,17,15,18,18,17,18,17,13,13,11,15,17,13,13,13,17,15,18,16
18,14,15,18,18,15,18,18,16,18,16,13,16,11,14,17,15,14,16,18,16,18,18
18,14,18,18,17,14,19,18,16,17,17,13,15,13,16,16,16,15,14,18,16,18,15
16,15,15,18,17,12,18,17,16,17,17,13,14,11,16,16,14,16,15,17,15,18,16
18,14,16,18,17,14,18,18,17,18,17,14,15,12,16,18,13,17,14,19,17,17,16
17,14,16,18,16,14,18,17,16,17,17,13,14,12,17,17,13,16,15,17,14,17,16
16,12,15,17,16,14,18,17,16,17,17,14,15,12,16,16,13,16,11,17,16,17,17
16,15,16,17,16,15,18,17,16,18,16,16,17,13,14,16,15,15,12,17,14,18,15
16,14,15,17,17,16,18,17,17,18,17,14,14,11,16,16,15,16,13,17,14,18,16
17,14,17,18,16,15,18,18,17,18,17,14,15,12,18,17,13,16,14,17,15,18,17
15,13,15,18,16,14,18,17,16,18,18,15,14,12,16,16,13,13,13,18,15,18,15
17,13,15,17,16,13,18,17,15,19,18,15,15,15,14,15,13,15,14,17,15,17,16
17,14,15,18,17,14,18,18,16,18,16,13,14,12,16,16,13,16,13,17,15,18,15
16,14,16,16,17,16,19,18,15,17,17,15,13,11,16,17,14,16,14,17,16,17,15
17,14,15,18,17,15,18,18,16,17,18,14,15,12,16,18,13,16,14,17,15,18,17
17,14,17,18,19,15,18,18,16,18,17,13,16,15,18,18,15,16,16,18,17,18,17
15,12,16,17,16,13,17,17,16,17,18,14,16,12,15,16,13,15,14,17,14,17,15
16,14,15,17,14,15,18,18,14,18,16,13,16,13,14,16,14,17,13,18,15,17,17
16,13,17,17,17,15,18,18,16,18,17,14,14,10,16,16,16,16,13,18,14,18,17
18,14,15,18,18,14,18,18,15,17,18,14,16,13,15,17,13,16,13,19,14,18,16
17,15,15,17,16,14,17,18,16,19,17,15,16,12,17,18,13,15,15,18,17,17,16
16,14,15,17,16,15,18,18,16,18,17,14,16,11,16,17,14,16,16,17,17,18,16
16,14,16,16,17,14,18,19,17,17,16,14,14,13,16,15,14,15,15,18,16,19,16
17,15,16,17,17,17,18,17,16,18,17,13,14,11,15,17,14,15,16,18,17,18,16
16,14,15,17,17,15,18,17,16,17,17,14,14,11,16,16,12,14,14,17,16,18,16
16,15,16,15,18,13,18,17,18,18,17,15,14,13,16,17,15,15,13,19,15,19,15
14,15,14,18,19,13,18,18,15,17,17,13,14,11,16,17,14,16,13,18,14,18,17
17,15,15,16,17,15,18,18,16,18,17,15,15,14,17,17,15,13,13,18,16,17,15
16,14,14,17,17,15,17,18,17,18,18,13,17,12,17,16,13,14,15,18,16,18,17
15,13,16,17,15,14,18,17,17,18,18,16,15,12,14,16,14,15,14,18,17,17,15
16,15,15,18,16,16,18,18,17,18,17,14,17,14,16,17,15,15,14,19,15,18,18
16,15,14,17,16,17,18,17,17,17,17,13,15,13,16,16,14,13,13,18,15,17,16
16,14,15,17,17,14,18,18,17,17,16,14,14,12,14,16,15,16,14,17,13,17,16
14,13,15,17,17,16,18,18,16,18,17,15,14,12,14,16,13,16,14,17,14,19,14
17,13,18,16,15,17,18,17,16,18,16,13,16,12,17,16,14,15,13,19,16,18,17
17,14,15,19,18,14,18,17,17,17,17,14,13,11,13,17,15,15,13,18,14,17,16
17,15,15,18,16,16,18,18,16,18,16,14,15,14,17,16,12,17,14,18,16,18,17
16,13,15,17,17,16,17,17,16,18,18,14,17,10,13,17,14,14,12,18,17,18,15
16,15,15,18,17,14,18,18,16,18,17,13,15,14,17,16,14,15,13,17,14,18,15
16,13,16,17,16,16,18,18,16,17,16,15,16,12,17,16,14,16,12,17,17,18,16
17,15,16,17,18,13,18,18,15,18,16,14,15,11,16,17,15,17,14,17,14,17,17
16,15,14,17,17,15,18,17,16,19,17,15,17,12,19,17,13,15,16,18,16,18,16
17,14,15,18,17,15,18,18,16,19,18,15,18,12,17,16,14,16,12,19,15,18,17
18,17,16,16,16,17,18,18,18,19,18,15,16,11,15,16,16,13,14,18,17,18,17
18,14,16,17,17,16,18,18,15,17,17,14,13,14,16,17,13,15,13,18,15,18,15
15,13,14,18,17,15,18,19,17,18,17,15,17,11,17,17,14,15,15,18,15,18,16
16,13,16,17,18,14,18,18,15,17,17,15,16,11,17,15,14,16,13,18,15,17,16
15,12,16,17,16,13,19,18,16,18,17,14,15,11,13,16,14,15,15,17,14,18,15
17,12,15,17,18,14,17,18,16,18,17,14,15,11,16,16,16,16,14,18,16,18,18
16,13,16,17,18,14,18,18,16,18,16,14,15,13,15,17,15,15,12,18,16,17,14
17,15,14,17,16,18,18,18,15,18,17,15,18,14,13,16,16,13,14,18,16,18,16
16,14,16,16,17,14,18,18,16,17,18,13,16,13,15,16,15,16,14,17,15,18,15
15,15,16,17,16,14,18,18,15,18,16,14,16,11,15,17,15,17,15,17,15,18,16
15,14,15,17,17,15,18,18,15,17,17,15,16,11,15,17,13,14,11,18,14,18,16
15,13,16,18,17,15,18,18,16,18,16,13,15,13,14,15,12,15,12,18,16,17,17
17,13,15,18,17,14,19,17,15,18,17,14,14,13,15,16,14,14,13,17,13,17,16
15,14,16,17,16,16,18,18,15,18,16,14,16,12,16,17,13,15,14,17,18,18,15
16,14,17,18,17,14,18,18,16,17,17,16,15,12,16,17,12,16,18,17,14,18,15
16,14,15,17,17,15,18,17,16,17,17,14,15,13,15,17,12,15,11,18,13,19,16
18,15,17,16,18,13,18,18,16,17,18,17,16,13,14,16,15,16,13,18,15,18,16
17,13,15,17,17,16,18,18,16,18,17,14,16,12,16,17,14,15,14,17,15,18,17
18,14,17,18,17,13,18,18,16,18,18,15,16,12,17,17,12,15,16,17,14,18,18
18,16,14,17,17,17,18,18,15,18,17,15,14,11,17,15,14,16,13,18,15,18,15
17,14,16,17,17,15,18,18,16,17,18,13,15,10,16,16,14,14,10,17,13,18,15
17,16,15,18,17,17,18,17,15,19,17,17,16,10,15,17,15,16,13,17,15,18,17
17,12,16,17,16,13,18,17,16,17,17,13,14,14,15,18,13,17,14,17,17,18,17
16,13,16,17,17,15,18,18,15,17,17,13,16,13,14,15,14,15,12,18,13,18,16
17,15,16,18,17,16,18,18,16,18,17,14,16,12,16,18,12,15,13,17,16,19,16
16,14,16,17,17,13,18,18,15,17,16,14,16,13,14,16,13,15,13,17,13,17,17
16,14,16,18,16,15,18,18,16,18,17,13,15,13,17,17,14,15,15,17,16,18,15
16,14,16,18,15,16,18,18,14,17,17,12,14,13,16,15,12,16,12,17,14,18,16
16,13,16,17,16,15,18,17,15,17,18,14,15,13,15,15,14,14,13,17,13,18,17
18,14,17,17,17,15,18,18,16,17,18,13,13,12,16,16,13,17,13,17,15,17,15
15,14,16,16,17,14,17,17,15,17,17,14,14,13,14,16,14,15,14,17,13,17,16
17,14,17,18,15,16,18,17,17,18,16,14,15,12,15,18,12,14,16,18,16,18,16
15,16,15,17,16,17,18,18,15,18,18,13,14,13,16,17,14,16,14,18,15,18,15
15,13,16,17,16,15,18,18,16,18,17,13,15,13,15,16,13,15,13,18,13,18,15
15,14,15,15,17,14,18,17,16,17,16,14,14,13,15,16,13,15,16,17,14,17,18
16,13,15,16,16,14,18,17,16,18,17,13,14,12,17,17,14,16,16,17,13,18,17
17,14,16,17,15,17,18,18,17,18,17,15,15,13,16,18,16,17,15,18,17,18,16
15,13,17,17,17,15,18,17,16,17,18,14,15,12,17,17,15,17,16,18,17,18,17
18,14,16,17,17,15,18,18,16,18,18,14,13,12,16,17,14,14,14,18,16,18,16
17,16,14,17,16,17,18,18,16,18,17,14,16,14,16,17,15,16,12,18,15,18,16
17,13,17,16,17,15,18,18,17,18,18,14,14,11,16,17,15,14,16,19,17,17,15
17,15,16,17,17,15,18,18,17,17,17,15,14,10,17,17,15,15,15,17,15,18,16
16,13,17,18,17,13,17,18,16,17,18,16,16,13,17,17,15,16,14,17,14,17,17
18,13,14,16,17,14,18,18,16,17,18,13,15,11,16,16,15,16,13,17,15,18,17
18,15,15,17,17,18,18,18,16,18,18,13,17,15,15,18,13,14,14,18,17,18,17
17,14,15,16,16,15,17,17,15,18,16,14,15,11,16,16,14,17,14,18,17,17,15
17,15,16,17,16,13,18,17,16,17,17,13,16,13,16,18,15,16,15,18,15,18,16
17,16,16,18,17,16,18,18,15,18,17,14,16,11,17,18,14,17,19,18,16,18,16
18,15,15,18,16,16,18,18,16,18,17,14,16,11,16,16,13,16,16,17,13,18,15
16,16,16,17,17,17,18,18,16,18,17,15,14,14,16,16,15,15,15,18,16,19,15
17,13,16,17,16,15,18,17,16,19,15,13,13,10,18,18,16,15,16,17,15,18,17
17,15,15,17,16,14,18,17,17,19,16,16,16,13,17,17,15,15,12,18,14,17,16
17,16,15,18,18,14,18,17,16,17,16,12,15,13,15,16,12,16,14,17,17,18,16
18,15,17,18,18,14,19,17,15,18,16,16,14,11,18,16,14,15,12,18,18,19,16
14,14,15,18,16,14,18,18,16,18,17,13,16,11,16,17,14,16,15,17,16,18,16
14,15,16,18,17,14,18,18,15,17,17,14,15,11,16,16,14,15,12,17,14,18,14
18,14,16,16,17,15,18,18,17,18,16,13,15,15,17,16,14,15,13,18,16,17,15
18,14,15,18,16,15,18,18,16,18,18,14,16,13,15,17,14,14,12,19,13,18,16
17,15,15,17,17,15,18,17,16,18,16,16,15,14,17,17,14,14,15,17,16,17,16
17,15,15,18,16,15,18,17,16,18,17,15,15,11,16,17,14,16,15,17,17,18,16
18,14,14,17,16,14,18,18,17,17,18,14,16,12,16,17,14,16,14,17,15,18,17
16,13,15,17,18,16,18,18,17,17,17,15,14,11,17,17,13,17,15,17,12,18,16
16,14,16,16,17,16,19,19,16,18,16,12,15,12,15,15,14,16,13,17,15,17,15
17,13,16,16,16,14,18,18,15,19,17,15,15,12,16,16,15,15,12,17,15,18,14
18,14,16,18,16,15,18,17,17,17,18,14,15,11,16,16,14,15,15,17,14,18,17
18,12,16,16,17,15,18,18,16,17,17,13,17,15,16,18,14,16,16,19,14,18,15
18,12,17,17,16,16,18,18,16,17,17,13,15,11,17,16,14,15,14,17,15,18,16
16,17,14,18,16,18,18,18,16,17,17,15,17,11,16,16,14,14,13,17,15,17,16
17,12,15,17,17,15,18,18,17,17,17,13,15,12,16,16,13,14,14,17,16,18,16
18,13,15,17,17,13,18,18,15,18,17,12,15,11,14,17,14,14,14,19,16,17,15
18,16,16,16,17,15,18,18,16,18,17,18,16,12,17,17,12,17,17,18,17,18,16
17,14,15,17,17,14,18,18,17,18,17,15,15,13,17,16,13,16,17,18,17,17,17
16,13,14,17,18,15,18,18,17,17,16,16,14,13,15,15,13,15,15,17,16,18,15
15,14,16,18,16,14,18,19,16,18,17,14,13,16,14,15,14,16,15,18,15,18,15
17,16,15,19,15,15,19,17,17,17,17,15,16,11,14,18,13,16,15,18,15,18,17
17,16,16,18,16,13,18,18,14,18,17,15,17,12,15,15,15,17,15,17,13,18,17
18,14,15,17,17,17,18,18,15,18,17,14,15,14,17,17,15,14,13,17,17,18,16
18,15,16,17,16,16,18,19,15,18,19,14,16,14,14,17,15,14,16,17,14,17,16
17,16,17,17,18,16,18,18,17,18,17,14,15,14,16,18,14,16,14,17,14,18,17
17,13,16,17,16,16,18,18,16,18,18,15,16,10,16,16,15,17,15,18,18,18,15
17,15,16,18,17,15,18,17,17,18,17,15,16,13,15,17,14,15,13,17,16,18,17
15,16,14,17,16,15,18,19,15,18,17,15,15,10,16,17,15,14,14,18,16,18,16
16,15,15,18,18,15,18,18,16,18,18,13,15,12,18,17,13,14,16,19,15,18,17
18,13,15,19,17,14,18,17,17,18,18,13,16,15,14,16,13,16,15,18,14,18,16
14,16,15,16,16,17,18,18,17,18,16,14,14,11,17,16,14,13,14,18,15,18,15
16,15,16,17,17,14,19,19,15,19,18,14,16,13,16,16,15,15,15,18,17,18,15
17,15,16,18,16,15,18,18,16,18,18,14,18,12,17,17,14,16,16,18,15,18,18
16,14,15,17,16,13,18,18,16,18,17,13,16,11,17,17,15,13,13,18,14,18,16
16,16,16,16,17,13,18,18,16,19,17,15,15,11,14,18,14,16,14,17,16,18,15
15,13,16,17,15,16,18,18,16,17,17,13,16,13,17,16,14,14,12,17,16,18,16
16,14,16,17,17,13,18,18,17,18,17,15,15,10,17,17,14,16,16,18,17,18,16
16,14,14,18,17,14,18,17,16,18,18,15,16,13,16,17,15,17,13,17,14,18,17
17,14,14,18,16,14,18,18,16,18,17,14,14,12,15,17,14,15,12,18,17,17,15
16,15,15,18,18,14,18,17,16,18,18,14,14,11,16,16,14,16,15,18,14,18,15
15,14,17,18,18,15,18,18,17,18,18,15,14,11,16,17,14,17,13,18,16,18,17
16,13,16,16,17,14,18,17,15,17,17,14,15,12,16,16,15,15,12,17,16,19,16
15,15,15,17,16,14,18,18,17,18,18,15,13,11,17,17,13,15,14,18,16,18,15
16,14,15,18,15,14,18,17,17,18,17,15,15,13,14,16,12,15,14,18,15,18,16
16,14,14,18,18,16,18,18,17,18,18,15,14,13,15,17,14,14,14,17,16,18,16
18,13,17,17,18,16,18,18,16,17,17,14,16,10,14,15,15,15,16,19,16,17,17
16,13,16,17,16,16,18,18,16,17,17,13,16,12,16,16,13,14,12,17,15,18,16
15,17,15,18,16,15,18,18,16,18,17,15,16,12,15,16,14,17,14,17,17,18,17
17,15,17,18,17,15,18,18,16,18,18,13,17,14,16,17,15,16,12,17,14,18,16
15,14,16,17,15,14,18,17,16,18,15,12,15,14,13,16,15,17,15,18,15,18,16
18,15,17,16,16,16,18,17,16,18,16,15,17,15,15,16,15,16,16,17,17,18,17
16,15,15,17,17,16,18,18,16,18,17,12,15,15,16,16,14,16,15,18,18,18,17
18,14,14,18,17,15,17,18,15,18,16,15,16,11,15,15,14,13,13,17,16,18,16
14,13,16,16,18,13,18,18,15,17,16,13,15,12,15,17,13,17,13,17,13,18,17
16,15,15,17,16,15,18,18,17,17,17,13,14,13,17,16,12,16,12,17,15,17,15
